ORF,Name,Allele,Strain ID,Num_cells,Num_cells_outliers,Penetrance,normal,Cluster_normal-0,Cluster_normal-1,Cluster_normal-2,Cluster_normal-3,Cluster_normal-4,Cluster_normal-5,Cluster_normal-6,Cluster_normal-7,Cluster_normal-8,Cluster_normal-9
YER018C,SPC25,spc25-1,tsa473-37C,924,189,0.2045454545454545,1.0,0.1164021164021164,0.0105820105820105,0.1375661375661375,0.0211640211640211,0.0,0.1164021164021164,0.2962962962962963,0.0,0.0952380952380952,0.2063492063492063
YBR058C-A,TSC3,tsc3-2,tsa571-37C,592,225,0.3800675675675675,1.0,0.0311111111111111,0.0044444444444444,0.2133333333333333,0.0355555555555555,0.0,0.1333333333333333,0.2577777777777778,0.0,0.2088888888888889,0.1155555555555555
YLR298C,YHC1,yhc1-1,tsa632-37C,1071,232,0.2166199813258637,1.0,0.3232758620689655,0.0,0.0474137931034482,0.2758620689655172,0.0,0.1422413793103448,0.043103448275862,0.0,0.1293103448275862,0.0387931034482758
YLR298C,YHC1,yhc1-2,tsa633-37C,946,200,0.2114164904862579,1.0,0.235,0.005,0.05,0.195,0.0,0.14,0.15,0.0,0.135,0.09
YGL116W,CDC20,cdc20-2,tsa417-37C,692,176,0.2543352601156069,1.0,0.0511363636363636,0.0,0.0625,0.0113636363636363,0.0,0.1193181818181818,0.3409090909090909,0.0,0.0397727272727272,0.375
YDR145W,TAF12,taf12-9,tsa514-37C,343,154,0.4489795918367347,1.0,0.0909090909090909,0.0064935064935064,0.2077922077922078,0.0194805194805194,0.0,0.1103896103896103,0.1623376623376623,0.0,0.2402597402597402,0.1623376623376623
YDR145W,TAF12,taf12-w486stop,tsa515-37C,513,212,0.4132553606237816,1.0,0.0471698113207547,0.0,0.2216981132075471,0.0188679245283018,0.0,0.1084905660377358,0.2075471698113207,0.0,0.2688679245283019,0.1273584905660377
YMR296C,LCB1,lcb1-2,tsa603-37C,444,166,0.3738738738738739,1.0,0.0481927710843373,0.0,0.180722891566265,0.0120481927710843,0.0,0.180722891566265,0.1626506024096385,0.0,0.2289156626506024,0.1867469879518072
YDR311W,TFB1,tfb1-1,tsa701-37C,240,159,0.6625,1.0,0.0314465408805031,0.0314465408805031,0.10062893081761,0.0943396226415094,0.0,0.2830188679245283,0.0251572327044025,0.0,0.320754716981132,0.1132075471698113
YMR213W,CEF1,cef1-13,tsa702-37C,667,137,0.2053973013493253,1.0,0.1532846715328467,0.0,0.0875912408759124,0.0583941605839416,0.0,0.2335766423357664,0.1897810218978102,0.0,0.0875912408759124,0.1897810218978102
YGL120C,PRP43,prp43-ts2,tsa607-37C,594,147,0.2474747474747475,1.0,0.1700680272108843,0.0,0.1020408163265306,0.0680272108843537,0.0,0.1156462585034013,0.1768707482993197,0.0,0.2448979591836734,0.1224489795918367
YGL112C,TAF6,taf6-ts,tsa608-37C,498,184,0.3694779116465863,1.0,0.0597826086956521,0.0108695652173913,0.1576086956521739,0.0380434782608695,0.0,0.1358695652173913,0.1956521739130435,0.0,0.2010869565217391,0.2010869565217391
YGR006W,PRP18,prp18-ts,tsa434-37C,445,201,0.451685393258427,1.0,0.0248756218905472,0.0049751243781094,0.2139303482587064,0.0099502487562189,0.0,0.1840796019900497,0.1094527363184079,0.0,0.263681592039801,0.1890547263681592
YPL028W,ERG10,erg10-1,tsa531-37C,571,115,0.201401050788091,1.0,0.1826086956521739,0.0,0.0869565217391304,0.0434782608695652,0.0,0.1478260869565217,0.1565217391304348,0.0,0.1826086956521739,0.2
YFR004W,RPN11,rpn11-14,tsa534-37C,244,71,0.290983606557377,1.0,0.028169014084507,0.0,0.1830985915492957,0.0,0.0,0.1690140845070422,0.2957746478873239,0.0,0.056338028169014,0.2676056338028169
YDL098C,SNU23,snu23-5001,tsa1079-37C,643,233,0.3623639191290824,1.0,0.0858369098712446,0.0,0.0987124463519313,0.0901287553648068,0.0,0.2145922746781116,0.2103004291845493,0.0,0.2145922746781116,0.0858369098712446
YLR117C,CLF1,clf1-1,tsa1047-37C,1277,294,0.2302270947533281,1.0,0.0986394557823129,0.0,0.1224489795918367,0.1088435374149659,0.0,0.1666666666666666,0.1258503401360544,0.0,0.2346938775510204,0.1428571428571428
